"3,083,653","382,204","10,803,267","2,759,050","172,680","9,316,296",Column,Column,"26,517,150",Column,Column
-,"2,100,692","279,715","406,942","23,208","196,963",,,"3,007,520",,
-,"(1,008)","(1,250)","(32,883)",-,"(253,420)",,,"(288,561)",,
"22,395",-,-,-,-,-,,,"22,395",,
-,"(1,965,090)","307,983","89,057",-,"1,568,050",,,-,,
-,"(281,945)",-,"(1,349)",-,"283,294",,,-,,
-,"(1,757)",978,"42,124","(4,515)","(8,630)",,,"28,200",,
"3,106,048","233,096","11,390,693","3,262,941","191,373","11,102,553",,,"29,286,704",,
"134,863",-,"9,125,512","2,073,739","118,470","8,016,398",,,"19,468,982",,
"134,863",-,"376,661","221,806","15,120","649,798",,,"1,398,248",,
-,-,"(1,250)","(32,600)",-,"(249,740)",,,"(283,590)",,
-,-,-,(509),-,509,,,-,,
-,-,"36,347","131,422",759,"(6,026)",,,"162,502",,
"269,726",-,"9,537,270","2,393,858","134,349","8,410,939",,,"20,746,142",,
"2,836,322","233,096","1,853,423","869,083","57,024",,"2,691,6",14,8,",540,56",2
,,,,,,"Group.
The Ba
k Value
f the pr
rying a
riving a
2,397 (
of thes
2024 (
ere wri","nk reva
rs and
opertie
mount
t the re
2023-
e assets
31 Dec
tten off",,"lued
Crystal
s and
would
sults fo
KShs
at
ember
throug",
