Column,"Q22021
KShs. ‘000’","Q22020
KShs. ‘000’","Variance
KShs. ‘000’",Growth (%)
Co-operative Bank of Kenya Ltd,"9,972,061","9,129,916","842,145",9.2%
Co-operative Bank of South Sudan,"(290,081)","102,575","(392,656)",-382.8%
Co-optrust Investment Services Ltd,"47,908","47,064",844,1.8%
Co-op Consult. & Insurance Agency Ltd,"433,782","387,775","46,007",11.9%
Kingdom Securities Ltd,(968),"(14,158)","13,190",93.2%
Kingdom Bank Ltd,"296,690",-,"296,690",
Co-op Bank and Subsidiaries Total,"10,459,393","9,653,173","806,220",8.4%
Associates share of profit,"64,903","(53,876)","118,779",220%
Group Profit Before Tax,"10,524,296","9,599,297","924,999",9.6%
Income Tax Expense,"3,158,716","2,401,379","757,337",31.5%
Group Profit after tax,"7,365,580","7,197,918","167,662",2.3%
