DEVELOPMENT PARTNER,3Q2017,3Q2016,PURPOSE
IFAD,30.00,30.00,"To finance the Eastern Province Horticultural
and Traditional Food crops project"
EUROPEAN INVESTMENT BANK,"1,628.92","2,743.25",To fund SMEs
AFD,"3,817.80","3,393.32","To fund energy efficient and renewable energy
projects"
"INTERNATIONAL FINANCE
CORPORATION(IFC)","13,643.05","8,938.01","To fund SME’s and agribusiness, construction
and mortgage segments"
D.E.G -(K.F.W),"3,790.52","4,789.21",To finance SME and Corporate customers
TOTAL,"22,910.28","19,863.79",
