Name,No. Shares,% Shareholding
John K. Murugu (OGW) - Chairman,"1,895,040",0.03
"Macloud Malonza (MBS, HSC) - Vice Chairman","5,160,000",0.09
"Dr. Gideon Muriuki, CBS, MBS – Group Managing Director & CEO","102,528,400",2.00
Lawrence C. Karissa,"3,860",-
"Wilfred Ongoro, HSC",84,-
Wanyambura Mwambia,-,-
Julius Sitienei,"4,000,000",0.07
Richard L. Kimanthi,"7,800",-
Benedict W. Simiyu,"3,360",-
Godfrey K. Mburia,"2,352,201",0.04
Patrick K. Githendu,"86,415",-
Weda Welton (Mrs.),"3,254,000",0.06
Scholastica Odhiambo (Mrs.),"1,825,524",0.03
James N. Njiru,"1,680",-
David M. Muthigani,"11,592",-
Francis Ngone,-,-
Geoffrey M’Nairobi,"283,220",-
