"34,783,864",-,"34,783,864","30,444,256",Column,Column,-,Column,Column,"30,444,256",Column,Column
"52,162,735",-,"52,162,735","47,027,095",,,-,,,"47,027,095",,
"34,931,561","183,946,258","218,877,819","34,931,561",,,"162,673,590",,,"197,605,151",,
"77,108,409","296,624,518","373,732,927","73,660,914",,,"282,597,098",,,"356,257,992",,
-,"6,830,998","6,830,998",-,,,"6,831,659",,,"6,831,659",,
"25,302,093","9,766,345","35,068,438","32,482,194",,,-,,,"32,482,194",,
-,-,-,-,,,"3,884,925",,,"3,884,925",,
-,"3,656,036","3,656,036",-,,,"706,444",,,"706,444",,
,"31,473","31,473",,,,"31,473",,,"31,473",,
-,"8,540,562","8,540,562",-,,,"7,071,192",,,"7,071,192",,
-,"3,992,799","3,992,799",-,,,"3,464,902",,,"3,464,902",,
-,"2,218,489","2,218,489",-,,,"2,016,187",,,"2,016,187",,
-,"3,294,000","3,294,000",-,,,-,,,,,-
"224,288,662","518,901,478","743,190,140","186,063,826",,,"469,27",,"7,470",687,",823,47",0
"506,112,147",-,"506,112,147","478,183,582",,,,,-,478,",183,58",2
"2,801,077",-,"2,801,077","4,476,324",,,,,-,4,",476,32",4
"230,128",-,"230,128","563,960",,,,,-,,"563,96",0
"3,314","227,262","230,576",-,,,,22,"2,146",,"222,14",6
"12,955,520","19,484,582","32,440,102","29,437,111",,,,,-,29,",437,11",1
-,"351,037","351,037",,,-,,35,"1,037",,"351,03",7
"3,822,636","51,583,464","55,406,100","836,6",,54,,"38,74","8,100",39,",584,75",4
"367,277",-,"367,277","367,2",,77,,,-,,"367,27",7
"526,292,099","71,646,345","597,938,444",47,"9,310,563",,"73,50",,"8,351",552,",818,91",4
"(302,003,437)","447,255,133","145,251,696",(293,",246,737)",,,"429,95","6,187",134,",637,27",9
,,,,,,,,,,2,
