Stage 1,Stage 2,Stage 3,Total
KShs’000,KShs’000,KShs’000,KShs’000
"1,958,756","1,353,832","12,762,095","16,074,683"
"6,846,071","66,452","4,838,371","11,750,894"
"(4,351,256)","277,160","(5,600,460)","(9,674,556)"
"337,717","(325,905)","(11,812)",-
"(77,369)","100,380","(23,011)",-
"(47,352)","(81,124)","128,476",-
-,-,-,-
-,"286,904",-,"286,904"
-,-,"(72,741)","(72,741)"
"4,666,567","1,677,699","12,020,918","18,365,184"
