COMPANY,"Profit Before Tax
Q32019
KShs’000","Profit Before Tax
Q32018
KShs’000",Variance,%
The Co-operative Bank of Kenya Limited,"14,705,868","13,879,249","826,619",6%
Co-op Consultancy & Ins Agency Limited,"511,040","376,735","134,305",36%
Co-op trust Investments Limited,"50,858","38,197","12,661",33%
Kingdom Securities Limited,"(10,424)","(15,599)","5,175",33%
Co-operative Bank of South Sudan,"174,739","235,116","-60,377",-26%
Total PBT before eliminations,"15,432,081","14,513,698","918,383",6%
Add: Share of profit from associates,"22,685","131,948","-109,263",-83%
Group profit before tax,"15,454,766","14,645,646","809,120",6%
Income tax expense,"4,571,022","4,331,710","239,312",6%
Group profit after tax,"10,883,744","10,313,936","569,808",6%
