2023,Column,Column,2022,Column,Column
"Deferred tax
assets","Through
Profit or loss","Through
reserves","Deferred tax
assets","Through
Profit or loss","Through
reserves"
KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
"(5,242,616)","(259,179)",–,"(4,983,437)","(511,445)",
"540,096",–,"(9,322)","549,418",–,"80,992"
"(686,507)","249,971",–,"(936,478)","42,564",–
–,"(17,082)",–,"17,082","(195,621)",–
"(145,107)","3,693",–,"(148,800)","(18,882)",–
"3,297","442,527",–,"(183,466)","(183,466)",–
"(818,221)","(612,011)",–,"(461,975)","59,652",–
"(6,349,058)","(192,081)","(9,322)","(6,147,656)","(807,198)","80,992"
"(13,319)","31,209",–,"(5,772)","10,362",–
"(10,763)","8,564",–,"(5,266)","(2,734)",–
"22,736","(35,737)",–,"94,835","(133,717)",–
"11,658","7,991",–,"19,284","25,435",–
"10,312","12,027",–,"103,081","(100,654)",–
"(6,338,746)","(180,054)","(9,322)","(6,044,575)","(907,852)","80,992"
"(5,127,542)","(302,285)",–,"(4,825,259)","(539,720)",–
"540,096",–,"(9,322)","549,418",–,"80,992"
"(763,848)","273,577",–,"(1,037,425)","42,181",–
–,"(17,082)",–,"17,082","(195,622)",–
"(97,766)",(932),–,"(96,834)","(29,389)",–
"(145,953)","4,051",–,"(150,004)","(18,975)",–
"(568,357)","(467,418)",–,"(100,938)","96,919",–
"(6,163,370)","(510,089)","(9,322)","(5,643,960)","(644,606)","80,992"
