Case Number,Brief facts of the case,Current position
,"This is a claim against the Bank for injunction
to stop sale of farms taken as security. The
bank is owed Kshs KShs268,669,952.15",
,"This is a claim against the Bank for
injunction to stop sale of security.
Bank’s claim is for Kshs 158,497,946.70",
,"The plaintiffs filed suit on 28/3/2005
claiming injunction to restrain the bank
from publishing defamatory statements
against the plaintiffs regarding their tax and
bank /customer relationship, general
damages for defamation. The claim is for
un-quantified general damages",
,"The Bank filed suit on 1/4/2003 against the
defendants seeking declaration that certain
advertisements done by the first defendant
were comparative and referred to the bank
and were defamatory. The bank seeks un-
quantified general damages for defamation.",
,"The bank filed and obtained interim
injunction on 7/5/2008 to restrain the
defendant from calling press conferences
and/or publishing press releases
concerning the bank or its officers.",
,"The bank filed suit on in 2005 claiming
USD 322, 411.65 from Charterhouse bank
being the sum of a Guarantee issued on
behalf of Charterhouse bank’s customer.
The defendant has filed a counterclaim for
USD 101,804. Charterhouse is under
statutory management by CBK.",
