"2,307,300","239,018","10,498,957","1,809,124","130,151","9,224,441","24,208,991"
-,"2,004,488","232,370","210,274",-,"183,139","2,630,271"
-,"(1,008)","(1,250)","(32,024)",-,"(251,133)","(285,415)"
-,-,-,-,-,-,-
-,"(1,858,540)","290,394",96,-,"1,568,050",-
,"(281,945)",-,"(1,349)",-,"283,294",-
"2,307,300","102,013","11,020,471","1,986,121","130,151","11,007,791","26,553,847"
"134,863",-,"8,840,082","1,473,464","82,673","7,945,471","18,476,553"
"134,863",-,"370,080","126,028","11,836","643,739","1,286,546"
-,-,"(1,250)","(31,741)",-,"(247,453)","(280,444)"
-,-,-,(509),-,509,-
"269,726",-,"9,208,912","1,567,242","94,509","8,342,266","19,482,655"
"2,037,574","383,957","1,811,559","418,879","35,642","2,383,581","7,071,192"
