Column,2020,2019
Notes,KShs’000,KShs’000
7,"20,795,376","25,393,302"
8,"16,381,436","8,026,317"
9,"63,173,412","40,931,155"
9,"308,095","303,424"
10,"75,549","379,745"
11,"16,929,684","12,265,057"
24(b),"697,799",-
12(a),"280,522,176","265,332,776"
13,"77,516,586","77,693,633"
14,"3,512,920","2,512,920"
15,"706,444","706,444"
16(b),"2,699,811","2,242,641"
17,"33,912","34,522"
18(b),"5,577,625","5,844,283"
19,"3,925,238","4,674,823"
20,"3,966,886","3,275,430"
,"496,822,949","449,616,472"
21,"654,958","734,804"
22(a),"369,429,653","329,378,392"
23,"22,262,674","26,424,266"
24(b),-,"29,805"
25,"116,576","147,774"
26,"18,761,707","15,813,443"
27,"424,941","443,416"
,"411,650,509","372,971,900"
28,"5,867,180","5,867,180"
29,"1,911,926","1,911,926"
30(a),"1,316,635","1,351,679"
30(b),"69,602,038","60,096,268"
30(c),"607,481","(53,282)"
30(d),-,"1,603,621"
31,"5,867,180","5,867,180"
,"85,172,440","76,644,572"
,"496,822,949","449,616,472"
