Column,Q22021,Q22020,YoY Change,FY2020
Total Assets,573.0,513.9,11.5%,536.9
Loan book (Net),301.2,272.2,10.7%,286.6
Government Securities,182.0,122.4,48.7%,161.9
Total Deposits,411.9,389.8,5.7%,378.9
Borrowed Funds,44.4,25.6,73.3%,46.0
Shareholder's Funds,92.6,80.1,15.6%,90.7
