Notes,"2023
KShs‘000","2022
KShs‘000"
34,"64,475,772","58,023,604"
34,–,"1,227"
35,"(22,802,596)","(15,768,268)"
,"41,673,176","42,256,563"
36,"19,819,867","17,823,007"
36,"(143,141)","(341,229)"
,"19,676,726","17,481,778"
37,"2,877,509","4,551,793"
28,"18,476","18,476"
38,"698,942","845,581"
,"3,594,927","5,415,850"
,"64,944,829","65,154,191"
13(b),"(5,541,095)","(8,091,696)"
41,"260,167","(309,846)"
17(b),"(955,761)","(770,641)"
18,(610),(609)
19(b),"(1,222,171)","(1,110,118)"
20(i),"(1,362,454)","(1,076,408)"
39,"(15,247,267)","(13,647,798)"
40,"(11,259,181)","(13,275,333)"
,"(35,328,372)","(38,282,449)"
,"29,616,457","26,871,742"
25(a),"(8,142,963)","(7,236,119)"
,"21,473,494","19,635,623"
42,3.66,3.35
42,3.66,3.35
