"Kingdom Bank
Limited","Kingdom Securities
Limited","Co-operative Bank
of South Sudan"
2020,2020,2020
KShs’000,KShs’000,KShs’000
"1,975,907","65,180","1,681,635"
"(254,354)",(774),"(22,248)"
"1,721,553","64,406","1,659,387"
"(1,797,879)","(81,520)","(1,458,794)"
-,-,"(1,794,519)"
"(76,326)","(17,114)","(1,593,926)"
-,-,"(61,515)"
"(93,578)","(6,120)","94,541"
"(169,904)","(23,234)","(1,560,900)"
"98,546","(29,330)","3,098"
"(71,358)","(52,564)","(1,557,802)"
"(7,136)","(21,026)","(763,323)"
