Stage 1,Stage 2,Stage 3,Total
KShs‘000,KShs‘000,KShs‘000,KShs‘000
"4,633,615","9,027,197","19,913,509","33,574,321"
"353,141","(4,896,980)","13,091,363","8,547,524"
"65,041",-,-,"65,041"
-,-,"(4,069,396)","(4,069,396)"
"144,040","112,929","(377,659)","(120,690)"
"5,195,837","4,243,146","28,557,817","37,996,800"
"2,886,115","5,869,697","22,077,289","30,833,101"
"1,747,500","3,157,500","3,024,256","7,929,256"
-,-,"(70,133)","(70,133)"
-,-,"(96,009)","(96,009)"
-,-,"(576,817)","(576,817)"
-,-,"(735,122)","(735,122)"
-,-,"(3,709,955)","(3,709,955)"
"4,633,615","9,027,197","19,913,509","33,574,321"
