"34,783,864",-,-,-,Column,-,Column,Column,"34,783,864",Column,Column
"31,994,327","20,168,408",-,-,,-,,,"52,162,735",,
"2,012,528","10,101,697","22,817,336","115,549,399",,"144,369,400",,,"294,850,360",,
"44,576,001","6,253,070","26,279,338","161,562,643",,"278,193,910",,,"516,864,962",,
"612,546","16,675,365","8,014,182",-,,-,,,"25,302,093",,
"113,979,266","53,198,540","57,110,856","277,112,042",,"422,563,310",,,"923,964,014",,
"2,283,906","517,171",-,-,,-,,,"2,801,077",,
"364,744,948","64,882,899","78,720,797","1,317,171",,,,-,"509,665,8",,15
"836,654","928,514","2,057,468","20,542,211",,42,",164,48",3,6,"6,529,3",30
"116,193","242,206","1,174,519","3,150,095",,,"716,97",3,,"5,399,9",86
-,-,"367,277",-,,,,-,,"367,2",77
"11,405,578","17,024",-,"116,385",,,,-,1,"1,538,9",87
"379,387,279","66,587,814","82,320,061","25,125,862",,"42,","881,45",6,59,"6,302,4",72
"(265,408,013)","(13,389,274)","(25,209,205)","251,986,180",,"379,","681,85",4,32,"7,661,5",42
"5,404,909","8,941,689","27,343,390","6,3","88,548",,"623,33",4,4,"8,701,8",70
,,,,,,"iest per
e draw","iod to
n befor",,"which t
e expiry",
