Kshs. Billions,FY2017,FY 2016,% Change (YoY)
Total Assets,386.9,351.9,9.9%
Loan book (Net),253.9,236.9,7.1%
Government Securities,69.2,57.8,19.7%
Total Deposits,287.7,263.6,9.2%
Borrowed Funds,21.2,19.8,6.8%
Shareholders Funds,69.6,61.3,13.5%
No. of account holders (Millions),7.1,6.2,14.1%
