Kshs. Billions (except for EPS),Q32018,Q32017,% Change (Y/Y),FY2017
Interest Income,30.9,29.9,3.5%,40.4
Interest Expense,9.1,9.1,0.7%,12.3
Net Interest Income,21.7,20.8,4.7%,28.1
Fees & Commissions,7.9,7.8,0.6%,9.8
Forex Income,1.8,1.5,13.6%,2.2
Other Income,0.9,0.8,24.1%,1.4
Total Operating Income,32.3,30.9,4.6%,41.6
Loan Loss Provision,1.3,2.6,-50.3%,3.6
Staff Costs,8.1,7.2,12.3%,10.1
Other Operating Expenses,8.4,7.5,12.5%,11.6
Profit Before Tax and Exceptional Items,14.5,13.6,6.4%,16.3
Share of profit of associate,0.1,0.1,33.2%,0.13
Profit Before Tax,14.6,13.7,6.6%,16.4
Tax,4.3,4.2,3.1%,4.99
Profit After Tax,10.3,9.5,8.2%,11.4
Basic Annualized EPS,2.3,2.2,8.2%,1.9
