Column,"Actual
Q12018","Projections
FY 2018"
Profit Before Tax Growth,8.6%,15%
Loans & Advances Growth,2.8%,10%
Deposits Growth,6.5%,15%
Cost to Income Ratio,48.8%,48%
Non Funded to Total Income,32.2%,35%
Return On Average Equity (ROAE),20.9%,22%
Return On Average Assets (ROAA),3.6%,3.8%
Non Performing Loans (NPL),10.9%,8%
Cost of average funds,3.8%,4%
Net Interest Margin on Loans (NIM),9.6%,9%
Cost of risk,1.2%,1.4%
