30-Jun-21,"31-Mar-21 31-Dec-20 30-Jun-20
KSHS.'000 KSHS.'000 KSHS.'000
(Un-audited) Audited (Un-audited)
9,246,799 33,500,169 15,017,218
4,137,275 14,822,264 6,201,538
41,489 518,211 592,363
22,727 - -",30-Jun-21,"31-Mar-21 31-Dec-20
KSHS.'000 KSHS.'000
(Un-audited) Audited
588,260 514,314
607,743 1,226,557
2,554 39,905
- -",30-Jun-21
KSHS.'000,,KSHS.'000,,KSHS.'000
(Un-audited),,(Un-audited),,(Un-audited)
"16,917,870",,"406,699",,"16,465,915"
"8,825,600",,"1,271,685",,"7,553,915"
"181,661",,"11,563",,"132,065"
"34,806",,-,,-
"25,959,937","13,448,289 48,840,645 21,811,118","1,689,947","1,198,558 1,780,777","24,151,895"
,"3,178,068 10,937,757 5,104,373
68,382 196,208 14,922
372,189 1,357,714 778,096",,"232,046 173,350
57,574 24,498
13,886 56,507",
"6,397,074",,"194,191",,"6,202,507"
"23,999",,644,,"23,355"
"707,168",,"7,557",,"696,505"
"7,128,241","3,618,640 12,491,679 5,897,391","202,392","303,506 254,354","6,922,367"
"18,831,696","9,829,650 36,348,966 15,913,727
1,332,032 5,126,502 614,204
2,365,293 7,774,525 6,150,969
713,173 2,837,870 1,306,710
989 1,444 -
112,077 1,740,382 235,418","1,487,555","895,052 1,526,423
2,985 16,201
16,623 109,796
426 (26,649)
-
5,268 (12,504)","17,229,528"
"2,708,008",,"5,670",,"2,702,338"
"5,262,734",,"44,760",,"4,346,052"
"1,324,426",,"3,455",,"1,302,036"
108,,-,,108
"1,028,316",,"288,119",,"671,004"
"10,323,593","4,523,564 17,480,723 8,307,302","342,004","25,302 86,844","9,021,539"
"29,155,289","14,353,213 53,829,689 24,221,029
2,281,682 8,111,824 1,864,902
3,208,725 13,421,772 6,591,924
19,226 245,715 107,081
261,798 1,023,975 425,110
675,043 3,004,831 1,279,518
195,332 968,196 341,540
2,611,048 12,621,578 3,957,781","1,829,559","920,354 1,613,267
388,265 301,881
71,442 287,726
655 34,836
8,504 31,447
13,059 57,274
5,508 245,885
306,205 778,365","26,251,068"
"4,158,258",,"391,675",,"3,750,000"
"6,506,281",,"199,434",,"6,062,822"
"94,122",,"1,689",,"71,360"
"456,917",,"17,112",,"405,288"
"1,281,002",,"26,382",,"1,159,325"
"386,952",,"10,950",,"375,860"
"5,812,365",,"907,303",,"4,454,352"
"18,695,896","9,252,855 39,397,890 14,567,856","1,554,545","793,638 1,737,412","16,279,006"
"10,459,393","5,100,359 14,431,799 9,653,173
- -
(116,444) (149,939) (53,876)","275,014","126,716 (124,145)
- -
- -","9,972,061"
-,,-,,-
"64,903",,-,,-
"10,524,296","4,983,914 14,281,861 9,599,297","275,014","126,716 (124,145)","9,972,061"
"3,158,716","1,528,192 4,111,011 2,401,379
- (642,026) -",-,"- -
- 76,759","2,991,618"
-,,-,,-
"7,365,580","3,455,723 10,812,876 7,197,918","275,014","126,716 (200,904)","6,980,443"
"-
1,683,069",,"-
943,387",,"-
739,442"
"-
-",,"-
-",,"-
-"
