USD,GBP,EURO,JPY,CHF,ZAR,OTHERS,TOTAL
101.34,132.94,113.37,0.93,104.31,7.19,-,
KShs`000,KShs`000,KShs`000,KShs`000,KShs`000,KShs`000,KShs`000,KShs`000
"22,354,072","519,498","3,100,184","77,477","34,994","23,289","756,380","26,865,894"
"27,924,833","142,824","193,994",-,-,-,-,"28,261,651"
"1,869,493","23,390",515,-,-,(32),"11,919","1,905,285"
"52,148,398","685,712","3,294,693","77,477","34,994","23,257","768,299","57,032,830"
"30,798,927","113,886","7,705,498",-,-,-,"149,332","38,767,643"
"82,947,325","799,598","11,000,191","77,477","34,994","23,257","917,631","95,800,473"
"18,603,632","316,262","3,983,007","76,922","11,366","1,372","1,957","22,994,518"
"21,370,945",-,-,-,-,-,-,"21,370,945"
"962,747","9,833","11,854",-,-,-,"2,627","987,061"
"40,937,324","326,095","3,994,861","76,922","11,366","1,372","4,584","45,352,524"
"41,624,327","468,299","7,113,012",-,-,"22,162","861,320","50,089,120"
"82,561,651","794,394","11,107,873","76,922","11,366","23,534","865,904","95,441,644"
"385,674","5,204","(107,682)",555,"23,628",(277),"51,727","358,829"
