Column,Director,Tenure,Age,Skills
1.,"John Murugu, OGW – Chairman
(Indepedent)",8 years and 7 months,73,"• Banking and finance
• Public finance management
• Bank supervision and Debt Management
• Leadership and governance"
2.,"Macloud Malonza, MBS, HSC
– Vice - Chairman",18 years,55,• Organizational change and development
3.,"Dr. Gideon Muriuki, CBS, MBS
– Group Managing Director & CEO",22 years,59,"• Banking and finance
• Corporate and institutional banking
• Leadership and management
• Rural finance development
• Strategic planning and implementation"
4.,Patrick K. Githendu – Director,6 years and 2 months,70,"• Business Management
• Coffee Industry Expertise"
5.,"Weda Welton (Mrs) – Director
(Indepedent)",4 years and 7 months,65,"• Human resource management
• Strategic planning
• Risk management"
6.,"Lawrence C. Karissa – Director
(Indepedent)",8 years and 7 months,68,"• Accounting
• Banking
• Leadership
• Corporate governance"
7.,Julius Sitienei – Director,20 years and 11 months,69,"• Business management
• Education
• Human resources management"
8.,Benedict W. Simiyu – Director,9 years and 4 months,62,"• Education management
• Leadership"
9.,Richard L. Kimanthi – Director,29 years and 12 months,67,"• Business Management
• Leadership"
10.,"Wanyambura Mwambia,
Principal Secretary-Representing
PS Ministry of Finance (Indepedent)",10 years and 4 months,68,"• Finance and management
• Economic affairs
• Tax and administration"
11.,"Wilfred Ongoro, HSC – Director",17 years and 1 month,68,"• Education leadership
• Cooperative movement experience"
12.,"Margaret Karangatha (Mrs) – Director
(Indepedent)",4 years and 2 months,63,"• Organizational Planning
• Leadership
• Human Resources Management
• Finance and Non-Finance Managers
• Consulting and Facilitation"
13.,Godfrey K. Mburia – Director,6 Years,67,• Accountant
