Column,Q22023,Q22022,YoY Change
Total Interest Income,32.0,28.6,12.0%
Total Interest Expenses,10.4,7.5,38.9%
Net Interest Income,21.5,21.1,2.3%
Fees and commissions on loans and advances,6.2,5.5,13.3%
Other Fees and commissions,5.6,5.4,3.4%
Foreign exchange trading income,1.8,2.0,-10.0%
Other income,0.2,0.4,-44.7%
Total Operating Income,35.4,34.4,3.0%
Loan loss provision,2.9,3.3,-14.4%
Staff costs,8.0,7.1,12.6%
Other operating expenses,8.3,8.7,-4.9%
Total Operating expenses,19.1,19.2,-0.1%
Profit before tax and exceptional items,16.2,15.2,6.8%
Exceptional items-Share of profit of associate,0.2,0.1,96.8%
Profit Before Tax,16.4,15.3,7.4%
Income tax,4.3,3.8,11.8%
Profit After Tax,12.1,11.5,5.9%
