Column,Q12023,Q12022,YoY Change
Total Assets,631.1,597.0,5.7%
Net Loan book,360.1,324.5,11.0%
Government Securities,179.2,183.4,-2.3%
Total Deposits,441.5,417.2,5.8%
Borrowed Funds,48.4,43.3,11.8%
Shareholder's Funds,112.6,102.7,9.7%
