Kshs. Billions,Q3 2025,Q3 2024,YoY Change
Total Interest Income,67.93,61.77,10.0%
Total Interest Expenses,22.65,24.89,-9.0%
Net Interest Income,45.28,36.87,22.8%
Fees and commissions on loans and advances,8.56,9.08,-5.7%
Other Fees and commissions,9.65,8.83,9.2%
Foreign exchange trading income,2.92,3.73,-21.6%
Other income,0.98,0.64,53.0%
Total Operating Income,67.38,59.16,13.9%
Loan loss provision,7.36,5.58,31.9%
Staff costs,15.05,13.50,11.5%
Other operating expenses,15.31,13.60,12.5%
Total Operating expenses,37.72,32.68,15.4%
Profit before tax and exceptional items,29.67,26.48,12.0%
Exceptional items-Share of profit of associate,0.36,0.31,16.7%
Profit Before Tax,30.03,26.78,12.1%
Income tax,8.46,7.58,11.7%
Profit After Tax,21.56,19.21,12.3%
