Kes. Billions (except for EPS ),Q1 - 2015,Q1 - 2014,"% Change
(Y/Y)","FY 2014
(audited)"
Interest Income,8.17,6.6,23%,29.4
Interest Expense,2.3,1.8,27%,8.1
Net Interest Income,5.8,4.8,21%,21.3
Fees & Commissions,2.3,1.9,19%,8.7
Forex Income,0.452,0.447,1%,1.417
Total Income,8.7,7.5,17%,32.1
Loan Loss Provision,0.35,0.15,132%,1.18
Operating Expenses,4.3,4.2,3%,20.1
"Exceptional item, Early retirement costs",0,0,0,1.34
Profit Before Tax,4.5,3.47,30%,11.99
Profit After Tax,3.17,2.47,29%,8.01
Basic EPS,0.65,0.59,10%,1.64
