Group,Column,Bank,Column
2022,2021,2022,2021
KShs‘000,KShs‘000,KShs‘000,KShs‘000
"46,837,749","37,630,226","46,837,749","37,630,225"
"103,468,489","100,362,453","96,840,803","96,549,638"
"126,412,537","120,733,091","125,421,013","120,733,091"
"22,763,493","22,333,090","22,381,245","21,212,166"
"121,470,823","124,412,776","115,857,467","120,307,044"
"2,849,577","2,254,129","2,849,577","2,254,129"
"423,802,668","407,725,765","410,187,854","398,686,293"
"32,157,603","44,220,336","31,793,037","42,237,444"
"9,706,827","8,270,274","9,706,827","8,270,274"
"18,939,272","23,991,244","18,939,271","23,991,244"
"60,803,702","76,481,854","60,439,135","74,498,962"
"221,817,559","203,856,636","215,431,748","200,976,379"
"37,602,221","29,714,773","37,602,221","29,714,773"
"103,579,186","97,672,502","96,714,750","93,496,179"
"362,998,966","331,243,911","349,748,719","324,187,331"
"423,802,668","407,725,765","410,187,854","398,686,293"
