Notes,"2022
KShs‘000","2021
KShs‘000"
44,"3,858,980","11,095,956"
25(b),"(9,116,223)","(5,219,053)"
,"(5,257,243)","5,876,903"
19(b),"(1,281,311)","(588,983)"
17(b),"(869,697)","(575,146)"
,-,"11,630"
14,"(54,653,643)","(53,347,960)"
14,"64,744,332","53,702,959"
15,-,"(372,005)"
,"7,939,681","(1,169,505)"
24,"6,458,253","2,244,426"
24,"(4,771,958)","(4,652,671)"
,"(5,867,180)","(5,867,180)"
,"(1,191,503)","(1,364,185)"
,"(5,372,388)","(9,639,610)"
,"(2,689,950)","(4,932,212)"
,"17,101,300","22,033,512"
44,"14,411,350","17,101,300"
