Column,Q32017,Q32016,FY2016
Cost to Income(Excluding Provisions),47.6%,47.1%,52.1%
Cost to Income (Including Provisions),55.9%,53.1%,58.3%
Cost of average funds,4.0%,4.7%,4.5%
Staff Cost to Total Income,23.4%,20.7%,22.2%
Debt to Equity,41.6%,44.8%,32.3%
Average Return on Equity,20.1%,25.9%,22.7%
Average Return on assets,3.4%,4.1%,3.7%
FX to Non Funded income,15.2%,14.2%,14.1%
Non - Funded to Total Income,32.8%,30.6%,30.2%
Net Interest Margin(loans),8.9%,10.7%,10.5%
Net Interest Margin(Earning Assets),8.3%,10.0%,9.8%
Effective Corporate Tax Rate,30.6%,30.8%,31.6%
