Guideline,Status,Remarks
"Development of plans and identification of alternate sites that
are able to conduct full spectrum of the bank’s operations in
the event that the geographical location of the HQ is adversely
affected by the pandemic",Achieved,"Alternate recovery sites have been identified and are
ready for use with all the necessary backup power
generation and supply."
"Review and update the Business Continuity Plans, strategies
and frameworks to ensure continuity of operations while
mitigating the pandemic risk",Achieved,"Business Continuity Policy and Plan for the bank has
been reviewed, updated and approved by the Board
Risk Committee."
"Formulate pandemic response plans for close monitoring of the
implementation of the Business Continuity Plans",Achieved,"The Bank has documented a Pandemic Response Plan
that has been approved by the Board Risk Committee."
"Promotion of good hygiene and social distancing for staff,
customers and visitors visiting the bank premises.",Achieved,"There are programs in place that enhance
dissemination of materials cover bugs the disease
pandemic fundamentals. The display posters promoting
handwashing and preventive measures of the
pandemic are in place around the premises where Co-
op bank is represented. The same is also on the bank’s
intranet."
"Development and enhancement of Alternative Channels
minimizing the handling of cash and human interaction",Achieved,"The bank has deployed business channels (Mco-op
cash, Internet Banking, ATMs, Merchant POS Debit and
Credit cards) with continuous testing at the DR site to
assure continuity."
"Assessing and testing existing IT infrastructure noting higher
reliance on remote banking",Achieved,"There is continuous testing of the bank’s IT
infrastructure (at least twice a year)."
"Conduct self-risk assessment of the risks posed by the
pandemic to the bank based on critical services being provided",Achieved,"The risk assessment was conducted and report shared
with CBK in Q2 2020."
"Constitution of a multidepartment emergency response team
for critical functions should the pandemic escalate",Achieved,"The bank BCMT has been enhanced and converted into
the Emergency response team for the pandemic"
"Communicate pandemic preparedness strategy policies and
procedures to members of staff and other relevant parties",Achieved,"Communication has been done through Circulars. There
is also visibility to the pandemic plan which has been
uploaded on the intranet. Communication to customers
has been done via sms, social media platforms and
posters."
