FINANCIAL (Kshs. Billions),2020,2019,SYMBOL
Profit Before Tax,14.3,20.7,▼
Total Assets,537,457,▲
Loan and advances (Net),286.6,266.7,▲
Customer Deposits,378.6,332.8,▲
Non-Performing Loan (%),18.1%,9.9%,▲
Dividend per share,1.00,1.00,●
Market Capitalization Kshs. (Billions),72.8,95.5,▼
Average ROA,2.2%,3.3%,▼
Average ROE,12.7%,18.9%,▼
Cost to Income (CIR),58.1%,52%,▲
Debt to Equity,50.7%,33%,▲
OTHER KEY INDICATORS,,,
Staff numbers,4628,4422,▲
Training spend Ksh. (Million),24.3,70,▼
Remuneration Kshs. (Billions),13.4,12.4,▲
Digital channel transactions (Million),166,136,▲
Wide branch network,177,159,▲
Branches County presence,44,42,▲
ATMs,581,583,▼
Renewable energy lending Ksh. (Billions),3.4,2.59,▲
CCIA consultancies,2885,2800,▲
Coop Foundation students to date,7713,7657,▲
Electricity cost (Million),235,261,▼
Generator fuel cost (Million),15,19,▼
Water cost (Million),32,35,▼
