Stage 1,Stage 2,Stage 3,Total
KShs‘000,KShs‘000,KShs‘000,KShs‘000
"265,912,195","30,720,798","50,035,102","346,668,095"
"121,994,768","25,115,567","17,121,020","164,231,355"
"(89,055,204)","(15,342,457)","(15,890,799)","(120,288,460)"
"2,670,620","(2,385,363)","(285,257)",-
"(1,011,805)","1,492,380","(480,575)",-
"(4,317,833)","(3,217,600)","7,535,433",-
-,-,"(4,069,397)","(4,069,397)"
"(1,605,108)","98,478","(1,430,923)","(2,937,553)"
"294,587,633","36,481,803","52,534,604","383,604,040"
"5,645,050","1,942,494","25,986,777","33,574,321"
"4,098,103","4,441,267","6,755,699","15,295,069"
"(1,440,580)","(1,373,564)","(3,950,530)","(6,764,674)"
"54,136","(48,657)","(5,479)",-
"(257,398)","386,328","(128,930)",-
"(2,174,069)","(1,165,710)","3,339,779",-
-,-,"50,498","50,498"
-,-,"(4,069,397)","(4,069,397)"
"(729,405)","60,988","579,400","89,018"
"5,195,837","4,243,146","28,557,817","37,996,800"
"289,391,796","32,238,657","23,976,787","345,607,240"
"238,087,697","25,936,384","58,828,325","322,852,406"
"138,573,875","8,756,272","2,236,806","149,566,953"
"(108,968,239)","(9,848,637)","(11,680,597)","(130,497,473)"
"5,932,168","(3,681,513)","(2,250,655)",-
"(8,155,821)","11,441,983","(3,286,162)",-
"(1,474,267)","(7,515,155)","8,989,422",-
"1,916,782","5,631,464","1,300,156","8,848,402"
-,-,"(4,102,193)","(4,102,193)"
"265,912,195","30,720,798","50,035,102","346,668,095"
