2009,2010,2011,2012,2013
KShs million,,,,
"13,194","20,775","21,616","31,100","30,754"
"66,620","90,965","114,101","123,824","145,735"
"(4,346)","(4,346)","(4,692)","(4,736)","(4,521)"
"26,498","34,391","22,237","33,391","41,055"
"6,192","6,943","9,336","11,133","13,102"
"2,420","5,611","5,714","5,876","9,217"
"110,678","154,339","168,312","200,588","231,215"
"92,529","129,226","144,514","163,149","180,887"
209,139,234,"4,572","10,252"
"1,648","4,379","2,613","3,500","3,492"
"95,022","134,359","147,360","171,221","194,631"
"15,656","19,980","20,951","29,367","36,584"
"7,054","9,503","11,885","13,581","15,869"
"4,664","6,168","6,451","10,200","12,021"
"(7,354)","(9,231)","11,417","13,171","16,605"
(628),(799),710,999,778
-,130,158,374,365
"3,736","5,771","6,366","9,984","10,872"
"2,968","4,580","5,366","7,724","9,108"
0.85,1.31,1.54,1.84,2.20
0.20,0.40,0.40,0.50,0.50
20%,25%,26%,31%,30%
3.1%,3.5%,3.3%,4.2%,4.5%
68%,64%,66%,60%,62%
25%,22%,27%,39%,27%
15%,13%,12%,15%,16%
7%,5%,5%,4%,3%
7%,5%,0.6%,0.8%,0.8%
7%,5%,4.0%,3.8%,3.8%
66%,89%,90%,76%,74%
27%,21%,22%,16%,12%
72%,70%,79%,76%,76%
0.2%,0.1%,0.2%,2.8%,5.7%
0.3%,0.2%,0.2%,3.7%,7.0%
