"68,567,491",Column,"498,577",Column,Column,Column,"69,066,",Column,068
"(23,799,491)",,"(45,415)",,,,(,"23,844,9",06)
"44,768,000",,"453,162",,,,,"45,221,",162
"25,384,063",,"1,077,685",,,,,"26,461,",748
"70,152,063",,"1,530,847",,,,,"71,682,",910
"(2,701,056)",,"(76,974)",,,,,"(2,778,0",30)
"(973,285)",,"(4,838)",,,,,"(978,1",23)
"(34,750,895)",,"(1,157,739)",,,,"(35,908,6",,34)
-,,,,,-,,,-
"31,726,827",,,,"291,29",6,"32,018,",,123
"345,725",,,,,-,,"345,",725
"32,072,552",,,,"291,29",6,,"32,363,",848
"(9,083,617)",,,,"(91,86",6),,"(9,175,4",83)
"22,988,935",,,,"199,43",0,,"23,188,",365
"507,232,197",,,,"6,446,10",0,5,"13,678,",297
"154,725,071",,,,"4,124,02",0,1,"58,849,",091
"661,957,268",,,1,"0,570,12",0,,"672,527,",388
"549,9","66,179",,9,",251,61",9,5,"59,217,",798
"111,9","91,088",,1,",318,50",2,1,"13,309,",590
