Column,Upside,Base,Column,Do,wnsid,e
Year 1,1.240109,1.023765,,1.,30545,5
Year 2,1.258345,1.054773,,1.,29107,3
Year 3,1.195688,1.075684,,1.,22678,6
Year 4,1.202606,1.085737,,1.,23388,4
Year 5,1.216451,1.094737,,1.,24808,9
,,,"er, this
orst ca
ncertai","assessm
se’ or ‘s
nties su","ent is
tress ca
rroundi
202
40
20
40
1",
