Co-operative Bank Group,Column,Column,Column,"Co-operative Bank of Kenya Ltd Board
Sub-committees",Column,Column,Column
"Co-operative
Bank of Kenya
Ltd","Co-op
Consultancy
& Insurance
Agency Ltd","Co-optrust
Investment
Services Ltd","Kingdom
Securities
Ltd","Audit
Committee","Staff and
Nomination
Committee","Credit
Committee","Risk
Committee"
7,,,,,2,2,
7,5,5,,,,2,
7,5,5,,,2,2,
7,,,,4,2,,4
3,,,,1,1,,
7,,,,,,2,
7,,,,4,,,4
7,,,5,,2,,
4,,,,3,1,,
7,,,,,,2,
7,,,,4,,,4
7,,,,,2,,
7,,,,4,,,4
7,,,,,,2,4
,5,5,,,,,
,5,5,,,,,
,5,5,,,,,
,5,5,,,,,
,5,5,,,,,
,5,5,,,,,
,5,5,,,,,
,,,5,,,,
,,,5,,,,
,,,2,,,,
,,,3,,,,
,,,5,,,,
