Notes,"2021
(KShs’000)","2020
(KShs’000)"
33,"52,244,587","46,613,399"
34,"(14,418,488)","(12,494,876)"
,"37,826,099","34,118,523"
35,"13,452,556","10,976,392"
35,"(120,807)","(319,367)"
,"13,331,749","10,657,025"
36,"2,703,645","2,305,791"
27,"18,475","18,475"
37,"1,266,692","3,419,601"
,"3,988,812","5,743,867"
,"55,146,660","50,519,415"
12(c),"(7,499,998)","(7,516,667)"
40,"(365,318)","(580,990)"
16(b),"(737,383)","(700,218)"
17,(610),(610)
18(b),"(1,162,788)","(1,323,247)"
19(b),"(1,196,802)","(1,196,781)"
38,"(12,435,592)","(12,455,467)"
39,"(10,422,842)","(9,784,805)"
,"(33,821,333)","(33,558,785)"
,"21,325,327","16,960,630"
24(a),"(5,727,064)","(3,241,362)"
,"15,598,263","13,719,268"
41,2.66,2.34
41,2.66,2.34
