Column,Q22023,Q22022,YoY Change
Total Assets,664.9,603.9,10.1%
Net Loan book,365.4,330.1,10.7%
Government Securities,188.5,183.2,2.9%
Total Deposits,467.5,433.9,7.7%
Borrowed Funds,59.4,41.4,43.6%
Shareholder's Funds,108.3,96.7,11.9%
