Kenya,South Sudan,Total
KShs’000,KShs’000,KShs’000
"55,508,632","139,513","55,648,145"
"(14,876,486)","(16,338)","(14,892,824)"
"40,632,146","123,175","40,755,321"
"18,930,607","465,748","19,396,355"
"59,562,753","588,923","60,151,676"
"(2,487,956)","(266,443)","(2,754,399)"
"(750,155)","(7,030)","(757,185)"
"(33,504,771)","(768,450)","(34,273,221)"
-,"(23,587)","(23,587)"
"22,819,871","(476,587)","22,343,284"
"250,675","54,904","305,579"
"23,070,546","(421,683)","22,648,863"
"(6,042,231)","(62,729)","(6,104,960)"
"17,028,315","(484,412)","16,543,903"
"331,878,077","2,083,441","333,961,518"
"242,365,600","3,496,536","245,862,136"
"574,243,677","5,579,977","579,823,654"
"475,538,133","3,946,052","479,484,185"
"98,705,543","1,633,926","100,339,469"
