Stage,Stage,Stage,Total
1,2,3,
"4,154,683","4,348,030","9,974,457","18,477,170"
-,-,"3,443,502","3,443,502"
"(1,268,568)","1,521,667","7,858,725","8,111,824"
-,-,"(176,218)","(176,218)"
-,-,"1,086,966","1,086,966"
-,-,"(119,661)","(119,661)"
-,-,"9,518","9,518"
"2,886,115","5,869,697","22,077,289","30,833,101"
"2,886,115","5,869,697","22,077,289","30,833,101"
-,-,-,-
"1,747,500","3,157,500","3,024,256","7,929,256"
-,-,"(70,133)","(70,133)"
-,-,"(96,009)","(96,009)"
-,-,"(576,817)","(576,817)"
-,-,"(735,122)","(735,122)"
-,-,"(3,709,955)","(3,709,955)"
"4,633,615","9,027,197","19,913,509","33,574,321"
