COMPANY,"Profit Before Tax
3Q2017","Profit Before Tax
3Q2016",%
,KShs’000,KShs’000,KShs’000
The Co-operative Bank of Kenya Limited,"13,215,655","14,915,399",-11.4%
Co-op Consultancy & Ins Agency Limited,"353,907","153,376",130.7%
Co-op trust Investments Limited,"29,999","34,281",-12.5%
Kingdom Securities Limited,82,"(13,597)",100.6%
Co-Operative Bank of South Sudan,"39,149","45,149",-13.3%
Total PBT before eliminations,"13,638,792","15,134,608",-9.9%
Add: Share of profit from associates,"99,093","90,812",9.1%
Group profit before tax,"13,737,886","15,225,419",-9.8%
Income tax expense,"4,201,626","4,684,235",-10.3%
Group profit after tax,"9,536,259","10,541,184",-9.5%
