Column,Q22022,Q22021,YoY Change
Total Interest Income,28.6,26,10.1%
Total Interest Expenses,7.5,7.1,5.5%
Net interest income,21.1,18.8,11.8%
Fees and commissions on loans and advances,5.5,2.7,103.7%
Other Fees and commissions,5.4,5.3,2.4%
Forex trading income,2,1.3,48.1%
Other income,0.4,1,-57.7%
Total operating Income,34.4,29.2,17.8%
Loan loss provision,3.3,4.2,-19.6%
Staff costs,7.1,6.5,8.6%
Other operating expenses,8.7,8,8.9%
Total Operating expenses,19.2,18.7,2.5%
Profit/(Loss) before tax and exceptional items,15.2,10.5,45.3%
Exceptional items-Share of profit of associate,0.09,0.06,35.5%
Profit before tax,15.3,10.5,45.2%
Current tax,3.8,3.2,20.8%
Profit after tax,11.5,7.4,55.7%
