2021,2020,2021,2020
KShs’000,KShs’000,KShs’000,KShs’000
"19,187,312","16,844,249","659,193","740,640"
"(18,270,919)","(16,903,266)","(447,760)","(939,076)"
"916,393","(59,017)","211,433","(198,436)"
"(266,219)","(217,288)",-,-
"650,174","(276,305)","211,433","(198,436)"
"(349,007)","36,871","(105,323)","19,903"
"301,167","(239,434)","106,110","(178,533)"
"249,185","(180,261)",-,-
"51,982","(59,173)",-,-
"301,167","(239,434)",-,-
"100,590","(79,971)","35,451","(55,345)"
"217,156","(92,285)","65,544","(61,515)"
336,"4,492",-,-
"(1,719)","7,823",-,-
-,-,"1,005","6,170"
"(11,384)","12,315","1,005","6,170"
"205,772","(79,971)","66,549","(55,345)"
