Kshs. Billions,FY 2016,FY2015,"% Change
(YoY)"
Total Assets,351.9,342.5,2.7%
Loan book (Net),236.9,208.6,13.6%
Government Securities,57.8,60.1,-3.8%
Total Deposits,263.6,268.8,-2.0%
Borrowed Funds,19.8,19.3,2.8%
Shareholders Funds,61.3,50.2,22.1%
No. of account holders (Millions),6.22,5.90,5.4%
