Notes,"2023
KShs‘000","2022
KShs‘000"
,"21,473,494","19,635,623"
43,"(7,363,660)","(7,598,110)"
,–,"269,973"
,–,"(80,992)"
,"(7,363,660)","(7,409,129)"
,"(7,363,660)","(7,409,129)"
,"14,109,834","12,226,494"
