DEVELOPMENT PARTNER,Q12018,Q12017,PURPOSE
IFAD,30,30,"To finance the Eastern Province Horticultural
and Traditional Food crops project"
EUROPEAN INVESTMENT BANK,"1,087","2,171",To fund SMEs
AFD,"3,508","4,022","To fund energy efficient and renewable energy
projects"
"INTERNATIONAL FINANCE
CORPORATION(IFC)","12,789","14,674","To fund SME’s and agribusiness, construction
and mortgage segments"
D.E.G -(K.F.W),"3,240","4,304",To finance SME and Corporate customers
TOTAL,"20,654","25,202",
