"Available immediately
and up to 1 month",1-3 months,3-12 months,1-5 years,Over 5 years,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"14,116,308",-,-,-,-,"14,116,308"
"6,731,206","1,804,767",-,-,-,"8,535,973"
"2,017,923","59,346,460","20,227,818","67,631,980","156,199,472","305,423,653"
"7,506,684","7,326,507","18,090,866","202,678,331","257,451,303","493,053,691"
"30,372,121","68,477,734","38,318,684","270,310,311","413,650,775","821,129,625"
"792,102",-,-,-,-,"792,102"
"306,449,493","69,929,787","32,877,067",-,-,"409,256,347"
"48,679","11,865","81,528","12,190,371","35,539,523","47,871,966"
"108,923","220,149","1,006,225","3,052,414","466,509","4,854,220"
"5,157,153",-,"23,312,410",-,-,"28,469,563"
"312,556,350","70,161,801","57,277,230","15,242,785","36,006,032","491,244,198"
"(282,184,229)","(1,684,067)","(18,958,546)","255,067,526","377,644,743","329,885,427"
"1,110,883","6,974,649","30,696,305","1,443,180",-,"40,225,017"
