"30-Jun-12
KSHS.’000
(Un-audited)
11,070,906
1,174,796
752,468
-",Column,"30-Jun-12
KSHS.’000
(Un-audited)
11,070,906
1,162,461
752,468"
"12,998,171","6,079,593 16,390,715 7,284,232","12,985,835"
"4,501,958
322,166
729,357","2,374,823 3,851,297 1,255,935
140,258 457,079 73,216
67,217 197,538 -","4,501,958
322,166
729,357"
"5,553,481","2,582,298 4,505,915 1,329,151","5,553,481"
"7,444,690
525,537
2,301,429
618,622
52,127
539,971","3,497,296 11,884,801 5,955,081
195,762 1,432,047 195,793
1,169,495 4,133,611 2,329,250
303,328 1,013,213 534,834
- 20,325 19,855
432,992 (148,145) 296,479","7,432,354
525,537
2,195,721
618,622
52,127
539,971"
"4,037,686","2,101,576 6,451,051 3,376,211","3,931,978"
"11,482,376","5,598,872 18,335,851 9,331,292","11,364,332"
"498,003
3,066,664
46,365
374,441
454,598
63,663
2,082,235","250,001 709,903 402,574
1,449,164 5,511,355 2,549,525
11,537 100,472 43,597
186,766 692,363 264,502
311,271 1,120,187 582,225
32,104 119,099 56,787
1,012,669 3,873,854 1,377,171","498,003
3,020,719
37,093
370,111
452,153
63,269
2,050,484"
"6,585,969
4,896,407
110,291","3,253,513 12,127,233 5,276,381
2,345,359 6,208,618 4,054,911
121,502 153,943 90,196","6,491,832
4,872,500
-"
"5,006,698","2,466,862 6,362,562 4,145,107","4,872,500"
"983,647
-","510,300 1,206,870 839,624
- (206,910) -","974,500
-"
"4,023,051","1,956,562 5,362,602 3,305,483","3,898,000"
"(2,321)","(2,849) 5,390 7,063",-
"4,025,372","1,959,411 5,357,212 3,298,420","3,898,000"
"0.96
-","0.56 1.54 0.95
- 0.40 -","0.93
-"
