"Within
12 months","After
12 months",Total,"Within
12 months","After
12 months",Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"26,348,136",-,"26,348,136","20,795,376",-,"20,795,376"
"16,915,263",-,"16,915,263","16,381,436",-,"16,381,436"
"37,766,875","125,326,706","163,093,581","37,766,875","103,306,767","141,073,642"
"39,236,716","247,397,476","286,634,192","36,780,125","243,742,051","280,522,176"
-,"666,502","666,502",-,697799,697799
-,"4,309,763","4,309,763",-,"3,966,886","3,966,886"
-,"33,912","33,912",-,"33,912","33,912"
-,"18,686,728","18,686,728",-,"16,929,683","16,929,683"
-,-,-,-,"3,512,920","3,512,920"
-,"1,967,532","1,967,532",-,"706,444","706,444"
-,"7,939,594","7,939,594",-,"5,577,625","5,577,625"
-,"4,362,015","4,362,015",,"3,925,238","3,925,238"
-,"2,825,101","2,825,101",,"2,699,811","2,699,811"
-,"3,294,000","3,294,000",-,-,-
"120,266,990","416,809,329","537,076,319","111,723,812","385,099,136","496,822,948"
"156,991,761","221,638,692","378,630,453","152,514,302","216,915,351","369,429,653"
"221,890",-,"221,890","654,958",-,"654,958"
-,-,-,-,-,-
-,"116,825","116,825",-,"116,576","116,576"
"19,901,662",-,"19,901,662","18,761,706",-,"18,761,706"
-,"424,941","424,941",-,"424,941","424,941"
"1,273,656","44,752,485","46,026,141","425,940","21,836,734","22,262,674"
-,"131,071","131,071",-,-,-
"178,388,969","267,064,014","445,452,983","172,356,906","239,293,602","411,650,508"
"(58,121,979)","149,745,315","91,623,336","(60,633,094)","145,805,534","85,172,440"
