Column,"Actual
Q12019",Actual FY 2018,"Projections
FY 2019"
Profit Before Tax Growth,4.4%,10.7%,11.6%
Loans & Advances Growth,-0.5%,-3.3%,10.9%
Deposits Growth,6.7%,6.5%,10%
Cost to Income Ratio,49.7%,54.6%,50%
Non Funded to Total Income,37.7%,28.2%,38%
Return On Average Equity (ROAE),20.5%,18.3%,21%
Return On Average Assets (ROAA),3.5%,3.2%,3.6%
Non Performing Loans (NPL),11.0%,11.2%,9%
Cost of average funds,3.8%,3.8%,3.7%
Net Interest Margin (NIM),7.7%,9.4%,8.0%
Cost of risk,0.8%,0.7%,1%
