Category,No. of shareholders,No. of shares,%
Kenyan individual investors,"96,977","814,264,481",19.43
Kenyan institutional investors,"2,164","3,254,344,071",77.65
East African individual investors,1,"2,000",NIL
East African institutional investors,NIL,NIL,NIL
Foreign individual investors,75,"837,360",0.02
Foreign institutional investors,43,"121,395,386",2.90
TOTAL,"99,260","4,190,843,298",100.00
