YEAR ON YEAR ELECTRICITY COSTS,Column,Column,Column,Column
Electricity Costs,,,,
YEAR,2018,2019,2020,2020/2019 cost Savings
COST,264.6,260.9,233.7,27.2
Diesel Costs,,,,
YEAR,2018,2019,2020,2020/2019 cost Savings
COST,26.3,19.2,15.1,4.1
