2023,Column,Column,Column
KShs’000,,,
"69,066,068",,,
"(23,844,906)",,,
"45,221,162",,,
"22,379,996",,,
"(143,141)",,,
"22,236,855",,,
"3,181,189",,,
"18,476",,,
"1,025,228",,,
"4,224,893",,,
"71,682,910",,,
"(6,008,158)",,,
"575,475",,,
"(978,123)",,,
(610),,,
"(1,315,595)",,,
,"(1,461,82",,5)
,"(16,","690,24",9)
,"(13,","785,70",2)
,"(39,6","64,78",7)
,"32,","018,12",3
,,"345,72",5
,"32,","363,84",8
,"(9,","175,48",3)
,"23,","188,36",5
,23,",023,81",6
,,"164,54",9
,"23,","188,36",5
,,3.9,2
,,3.9,2
,,1,
