"30-Sep-20
KSHS.’000
(Un-audited)","30-Jun-20 31-Mar-20 31-Dec-19 30-Sep-19
KSHS.’000 KSHS.’000 KSHS.’000 KSHS.’000
(Un-audited) (Un-audited) Audited (Un-audited)
34,300,888 31,825,017 31,618,456 30,066,093
- - -
5,650,870 5,480,834 5,103,895 5,260,640
28,650,019 26,344,183 26,514,561 24,805,453
- - -
13,062,926 11,949,149 11,262,003 11,423,872
15,587,092 14,395,034 15,252,558 13,381,581
11,784,732 11,741,545 15,252,558 12,387,702
3,802,361 2,653,489 - 993,879","30-Sep-20
KSHS.’000
(Un-audited)"
"40,176,652",,"39,477,779"
-,,
"5,989,150",,"5,874,487"
"34,187,502",,"33,603,292"
-,,
"14,136,586",,"13,921,458"
"20,050,915",,"19,681,834"
"14,035,174",,"13,215,875"
"6,015,742",,"6,465,959"
,"5,957,894 6,163,789 6,454,598 7,073,218
9,328,202 9,169,647 9,117,557 9,031,145
15,286,096 15,333,436 15,572,155 16,104,363",
"6,281,751",,"6,281,751"
"9,832,315",,"9,832,315"
"16,114,066",,"16,114,066"
,"27,803,951 26,030,595 25,276,943 25,569,640
4,950,528 12,649,488 6,812,807 14,750,837
- - - -
32,754,480 38,680,082 32,089,750 40,320,477",
"27,199,108",,"27,199,108"
"7,148,058",,"7,148,058"
-,,-
"34,347,166",,"34,347,166"
"72,666,074",,"66,708,682"
"1,000,000",,"1,000,000"
"71,666,074",,"65,708,682"
"2,098,033",,"2,094,436"
"74,764,108",,"68,803,119"
"445,151,138",,"441,543,621"
19.0%,,17.7%
8.0%,,8.0%
11.0%,,9.7%
16.3%,,15.1%
10.5%,,10.5%
5.8%,,4.6%
16.8%,,15.6%
14.5%,,14.5%
2.3%,,1.1%
18.0%,,16.7%
15.5%,,14.3%
15.9%,,14.8%
50.2%,,48.6%
20.0%,,20.0%
30.2%,,28.6%
