Column,Q12022,Q12021,YoY Change
Total Assets,597.0,552.9,8%
Net Loan book,324.5,298.2,9%
Government Securities,183.4,166.2,10%
Total Deposits,417.2,398.8,5%
Borrowed Funds,43.3,46.9,-8%
Shareholder's Funds,102.7,93.7,10%
