KES Billions,"Dec 31, 12","Dec 31, 11","(%)
Change"
Interest Income,24.63,16.39,50%
Interest Expenses,8.68,4.50,93%
Net Interest Income,15.95,11.89,34%
Fees and Commissions,6.5,5.44,19%
FOREX Income,1.30,1.01,29%
Total Income,23.76,18.34,30%
Loan Loss Provisions,1.0,0.71,11%
Operating Expenses,14.2,12.13,17%
Profit Before Tax,9.97,6.36,57%
Profit After Tax,7.71,5.36,44%
Earnings Per Share (EPS),1.84,1.53,17%
