"Available
immediately
and up to 1
month",1-3 months,3-12 months,1-5 years,Over 5 years,"Non- interest
bearing",Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
-,-,-,-,-,"20,795,376","20,795,376"
"15,847,609","533,827",-,-,-,-,"16,381,436"
"5,406,920","10,868,773","21,491,182","28,513,599","74,485,073",-,"140,765,547"
"7,852,816","1,201,886","27,725,423","107,033,796","136,708,255",-,"280,522,176"
"29,107,345","12,604,486","49,216,605","135,547,395","211,193,328","20,795,376","458,464,535"
"654,958",-,-,-,-,-,"654,958"
"77,272,513","49,130,885","26,110,904",0,-,"216,915,351","369,429,653"
"63,653",-,"362,287","14,092,827","7,743,907",-,"22,262,674"
"112,380","224,761","1,011,424","2,548,342","366,852",-,"4,263,759"
"78,103,504","49,355,646","27,484,615","16,641,169","8,110,759","216,915,351","396,611,044"
"(48,996,159)","(36,751,160)","21,731,990","118,906,226","203,082,569","(196,119,975)","61,853,491"
