Kshs. Billions,Q32024,Q32023,YoY Change
Total Interest Income,61.77,49.35,25.2%
Total Interest Expenses,24.89,16.53,50.6%
Net Interest Income,36.87,32.82,12.3%
Fees and commissions on loans and advances,9.08,9.09,(0.1%)
Other Fees and commissions,8.83,8.54,3.5%
Foreign exchange trading income,3.73,2.46,51.3%
Other income,0.64,0.50,27.5%
Total Operating Income,59.16,53.41,10.8%
Loan loss provision,5.58,4.21,32.5%
Staff costs,13.50,12.18,10.8%
Other operating expenses,13.60,12.62,7.8%
Total Operating expenses,32.68,29.00,12.7%
Profit before tax and exceptional items,26.48,24.41,8.5%
Exceptional items-Share of profit of associate,0.31,0.28,10.0%
Profit Before Tax,26.78,24.69,8.5%
Income tax,7.58,6.29,20.4%
Profit After Tax,19.21,18.39,4.4%
