Column,Q12022,Q12021,YoY Change
Interest Income,14.00,13.45,4.1%
Interest Expense,3.63,3.62,0.3%
Net Interest Income,10.37,9.83,5.5%
"Fees and commissions on loans and
advances",2.59,1.33,94.4%
Other Fees and commissions,2.78,2.37,17.4%
Forex Income,0.77,0.71,7.5%
Other Income,0.27,0.11,143.1%
Total Operating Income,16.78,14.35,16.9%
Loan Loss Provision,1.54,2.28,-32.3%
Staff Costs,3.51,3.21,9.4%
Other Operating Expenses,3.97,3.76,5.5%
Profit Before Tax and Exceptional Items,7.76,5.10,52.1%
Share of profit of associate,0.03,(0.12),127.6%
Profit Before Tax,7.79,4.98,56.3%
Tax,1.95,1.53,27.9%
Profit After Tax,5.84,3.46,68.9%
