Notes,"2023
KShs‘000","2022
KShs‘000"
8,"32,492,671","28,106,288"
9,"27,275,130","9,983,779"
11,–,"206,725"
10(a),"98,695,811","99,963,950"
10(b),"385,479","388,857"
13(a),"374,227,421","339,390,039"
14,"91,741,759","74,799,963"
12,"20,880,479","30,131,635"
24(b),"654,776","330,854"
16,"2,711,086","2,483,303"
18,"32,083","32,693"
19(a),"7,048,168","6,795,404"
20(i),"4,079,075","2,630,328"
17(a),"2,670,704","2,615,326"
21,"6,338,746","6,044,575"
14,"3,294,000","3,294,000"
,"672,527,388","607,197,719"
22,"4,457,278","1,087,501"
23(a),"451,642,048","423,802,668"
24,"67,334,316","48,102,072"
11,"1,396,103",–
25,"33,734,161","25,981,592"
26,"284,379","276,702"
28,"369,513","387,989"
,"559,217,798","499,638,524"
29,"5,867,180","5,867,180"
30,"1,911,926","1,911,926"
31(a),"1,621,428","1,652,990"
31(b),"111,887,781","97,685,796"
31(c),"(16,956,216)","(8,698,411)"
31(d),"53,490","67,286"
31(e),"2,728","2,728"
32,"8,800,770","8,800,770"
,"113,189,087","107,290,265"
,"120,503","268,930"
,"113,309,590","107,559,195"
,"672,527,388","607,197,719"
