–,–,–,–,–,"28,015,013","28,015,013"
"18,974,973","2,754,079",–,–,–,–,"21,729,052"
"1,984,713","11,148,742","13,138,032","59,010,937","84,181,507",–,"169,463,931"
"36,181,477","14,135,585","23,800,174","117,847,854","168,422,296",–,"360,387,386"
"57,141,163","28,038,406","36,938,206","176,858,791","252,603,803","28,015,013","579,595,382"
"5,752,083",–,–,–,–,–,"5,752,083"
"101,371,024","49,881,577","53,252,490","245,237",–,"227,797,970","432,548,298"
"2,572,274",–,–,"4,656,896","39,856,837",–,"47,086,007"
"114,845","229,691","1,033,609","1,222,386","1,494,028",–,"4,094,559"
"109,810,226","50,111,268","54,286,099","6,124,519","41,350,865","227,797,970","489,480,947"
"(52,669,063)","(22,072,862)","(17,347,893)","170,734,272","211,252,938","(199,782,957)","90,114,435"
