Column,Q12022,Q12021,Growth,Growth
,Kshs. '000',Kshs. '000',Kshs. '000',(%)
Co-operative Bank of Kenya Ltd,"7,141,121","4,772,305","2,368,817",50%
Co-operative Bank of South Sudan,"43,882","(89,058)","132,940",149%
Co-opTrust Investment Services Ltd,"53,724","21,301","32,423",152%
"Co-op Consultancy & Insurance
Intermediary Ltd","316,906","262,642","54,264",21%
Kingdom Securities Ltd,"(8,362)","(3,965)","(4,397)",-111%
Kingdom Bank Ltd,"209,792","137,133","72,659",53%
Co-op Bank and Subsidiaries Total,"7,757,064","5,100,359","2,656,705",52%
Associates share of profit,"32,113","(116,444)","148,558",128%
Group Profit before tax,"7,789,177","4,983,914","2,805,263",56%
Income Tax Expense,"(1,953,954)","(1,528,192)","425,762",28%
Group Profit After Tax,"5,835,223","3,455,723","2,379,501",69%
