BRANCHES,POSTAL ADDRESS,LANDLINE,EMAIL ADDRESS
1 Athi River,321-00204 Athi River,045-22875,
2 Bungoma,1964-50200 Bungoma,055-30701,
3 Buruburu,427-00515 Buru Buru,020-780187,
4 Chuka,101-60400 Chuka,064-630461,
"5 City Hall, Nbi",44805-00200 Nairobi,020-2252133,
"6 Co-operative
Hse - Nairobi",67881-00200 Nairobi,020-3276000,
7 Digo Rd - Mombasa,86039-80100 Mombasa,041-2317944,
8 Eastleigh,360-00610 Eastleigh,020-6768062,
9 Eldoret,2948-30100 Eldoret,053-2062717,
10 Embu,1337-60100 Embu,068-30363,
"11 Enterprise Road
Nairobi",17928-00500 Nairobi,020-651760,
12 Githurai,41420-00100 Nairobi,020-2133638,
13 Homa-Bay,406-40300 Homa-Bay,059-22390,
"14 Industrial Area, Nbi",18119-00500 Nairobi,020-2122164,
15 Kakamega,595-50100 Kakamega,056-31702,
16 Karatina,931-10101 Karatina,061-72855,
17 Kariobangi,252-00515 Buru Buru,020-2069124,
18 Kawangware,46904-00100 Nairobi,020-3560764,
19 Kayole,43-00518 Kayole,020-2403404,
20 Kericho,1742-20200 Kericho,052-30414,
21 Kerugoya,635-10300 Kerugoya,060-21586,
22 Kiambu,1064-00900 Kiambu,066-2022352,
"23 Kimathi Street, Nbi",7512-00200 Nairobi,020-315435,
24 Kisii,2469-40200 Kisii,058-31509,
25 Kisumu,1511-40100 Kisumu,057-2020070,
26 Kitale,1058-30200 Kitale,054-31602,
"27 Upperhill, Nbi",30415-00100 Nairobi,020-2713501,
28 Machakos,1250-90100 Machakos,044-20215,
29 Maua,565-60600 Maua,064-21548,
30 Meru,1328-60200 Meru,064-30209,
31 Migori,406-40300 H/Bay,059-20130,
"32 Moi Avenue, Nbi",46541-00100 Nairobi,020-315191,
33 Mtwapa,521-80109 Mtwapa,020-8011331,
34 Mumias,905-50102 Mumias,056-641299,
35 Murang'a,954-10200 Murang'a,060-30503,
36 NBC Ngong' Road,19555-00202 Nairobi,020-2711614,
