Kshs. Billions,Q22017,Q22016,"% Change
(YoY)",FY2016
Total Assets,383.3,363.0,5.6%,351.9
Loan book (Net),252.6,221.3,14.2%,236.9
Government Securities,70.5,76.6,-7.9%,57.8
Total Deposits,287.2,279.6,2.7%,263.6
Borrowed Funds,24.3,14.8,64.6%,19.8
Shareholders Funds,64.5,57.9,11.3%,61.3
No. of account holders (Millions),6.53,5.97,9.4%,6.22
